"order(p,d,q)","seasonal_order(P,D,Q,s)",BIC,AIC
"(1, 1, 1)","(1, 1, 1, 24)",10928.216854867178,10905.687934566537
"(0, 1, 1)","(1, 1, 1, 24)",11007.536589617275,10989.513453376763
"(1, 1, 1)","(0, 1, 1, 24)",11025.527718194313,11007.5045819538
"(1, 1, 0)","(1, 1, 1, 24)",11034.693597463858,11016.664486614318
"(1, 1, 1)","(1, 1, 0, 24)",11080.662476304382,11062.633365454842
"(0, 1, 1)","(0, 1, 1, 24)",11091.254841790887,11077.737489610503
"(1, 1, 0)","(0, 1, 1, 24)",11155.980106843432,11142.458273706277
"(0, 1, 1)","(1, 1, 0, 24)",11164.347642958715,11150.8213355478
"(1, 1, 0)","(1, 1, 0, 24)",11172.147370862192,11158.625537725038
"(0, 1, 0)","(1, 1, 1, 24)",11359.580822056047,11346.058988918892
"(1, 1, 1)","(0, 1, 0, 24)",11466.942096912857,11453.319006915288
"(0, 1, 0)","(0, 1, 1, 24)",11496.668060182134,11487.653504757363
"(0, 1, 0)","(1, 1, 0, 24)",11533.614201842913,11524.59666356897
"(1, 1, 0)","(0, 1, 0, 24)",11556.750977375352,11547.666033454338
"(0, 1, 1)","(0, 1, 0, 24)",11556.8383199707,11547.75625997232
"(0, 1, 0)","(0, 1, 0, 24)",11908.534928378736,11903.99245641823
